seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
29,raw,3000,0.9183333333333333,0.069,0.8405220547180347,0.11550809603573424,0.04396984924623116
29,harmonic_only,2825,0.9256637168141593,0.07,0.8791794422543436,0.12082055774565632,8.220645246051393e-30
29,curl_only,2796,0.9366952789699571,0.069,0.9190323565323565,0.0328907203907204,0.04807692307692308
29,reliability_score,2621,0.9458222052651659,0.07,0.9654481321147987,0.034551867885201225,9.007937080600799e-30
30,raw,3000,0.916,0.075,0.8530182629304336,0.11184999302941587,0.03513174404015056
30,harmonic_only,2860,0.922027972027972,0.075,0.8840774454558591,0.11592255454414102,3.306505050556853e-30
30,curl_only,2808,0.9330484330484331,0.077,0.9274973472790663,0.0343034712748219,0.03819918144611187
30,reliability_score,2668,0.9400299850074962,0.081,0.964334121355398,0.03566587864460206,3.588766821836431e-30
31,raw,3000,0.921,0.085,0.8559941520467836,0.10139933166248956,0.042606516290726815
31,harmonic_only,2830,0.9268551236749116,0.153,0.894088132635253,0.10591186736474698,7.315916002846129e-30
31,curl_only,2829,0.937080240367621,0.09,0.9218398560503824,0.032276203328834914,0.04588394062078273
31,reliability_score,2659,0.9458443023693117,0.112,0.9661716171617161,0.033828382838283835,7.889842373797798e-30
32,raw,3000,0.9193333333333333,0.07,0.84084762303081,0.117747107207584,0.04140526976160602
32,harmonic_only,2835,0.9252204585537919,0.074,0.8771669575334499,0.12283304246655034,8.851268766188013e-30
32,curl_only,2790,0.9383512544802868,0.087,0.9218095674766926,0.03279841051505426,0.0453920220082531
32,reliability_score,2625,0.947047619047619,0.078,0.9656420108869677,0.034357989113032346,9.724156010844774e-30
33,raw,3000,0.9256666666666666,0.065,0.8658420684835779,0.09642208245981833,0.03773584905660377
33,harmonic_only,2850,0.9315789473684211,0.069,0.8997966594045025,0.10020334059549747,1.0153429422728542e-29
33,curl_only,2841,0.9401619148187258,0.066,0.9276879305181192,0.03188080263551962,0.04043126684636118
33,reliability_score,2691,0.9479747305834262,0.074,0.9667759051186018,0.03322409488139827,1.0894552108698253e-29
34,raw,3000,0.9093333333333333,0.068,0.8360064209938581,0.12002372975991067,0.04396984924623116
34,harmonic_only,2825,0.9178761061946903,0.073,0.8744561249817492,0.12554387501825084,6.7375558213765e-30
34,curl_only,2787,0.9303911015428776,0.073,0.9178773946360154,0.03384674329501917,0.04827586206896552
34,reliability_score,2612,0.9383614088820827,0.076,0.964436392914654,0.03556360708534622,7.410547389854846e-30
35,raw,3000,0.9233333333333333,0.08,0.8623915477190035,0.08974951021550519,0.04785894206549118
35,harmonic_only,2810,0.9327402135231316,0.082,0.9057392710170489,0.09426072898295122,6.108254955365238e-30
35,curl_only,2859,0.9373906960475691,0.08,0.9166517923546035,0.03247806038970698,0.050870147255689425
35,reliability_score,2669,0.9467965530161109,0.086,0.9657812255132425,0.03421877448675757,6.500101030493335e-30
36,raw,3000,0.9246666666666666,0.092,0.8646103443468562,0.09272968074724663,0.04265997490589712
36,harmonic_only,2830,0.9321554770318021,0.092,0.9031381971748944,0.09686180282510559,1.2387442270898119e-29
36,curl_only,2844,0.9388185654008439,0.092,0.9249589858314692,0.0294034302759135,0.04563758389261745
36,reliability_score,2674,0.9476439790575916,0.093,0.969190498515393,0.030809501484606976,1.327899192816792e-29
37,raw,3000,0.925,0.082,0.8597117268401903,0.1150993562832354,0.02518891687657431
37,harmonic_only,2900,0.9293103448275862,0.085,0.8819265001435543,0.11807349985644561,8.129466547773941e-30
37,curl_only,2799,0.9435512683101107,0.088,0.9389423811707167,0.033547302460644975,0.027510316368638238
37,reliability_score,2699,0.9488699518340126,0.086,0.9655036932264655,0.034496306773534505,8.881179190685402e-30
38,raw,3000,0.9226666666666666,0.067,0.8630395433027012,0.094353940406572,0.042606516290726815
38,harmonic_only,2830,0.930035335689046,0.067,0.9014470622454916,0.09855293775450845,8.941682740629943e-30
38,curl_only,2844,0.9367088607594937,0.068,0.9231977956508789,0.03122579684241883,0.045576407506702415
38,reliability_score,2674,0.9454001495886313,0.069,0.9672830836454431,0.032716916354556806,9.580323626507589e-30
39,raw,3000,0.935,0.081,0.8671831379117811,0.09261585706309325,0.04020100502512563
39,harmonic_only,2840,0.9426056338028169,0.081,0.9035049447353113,0.09649505526468878,1.1608228137625008e-29
39,curl_only,2850,0.9491228070175438,0.081,0.9253053321417932,0.03179922549895741,0.04289544235924933
39,reliability_score,2690,0.9579925650557621,0.081,0.9667755991285404,0.033224400871459704,1.2407318677633395e-29
40,raw,3000,0.929,0.081,0.8544542032622334,0.11543287327478043,0.030112923462986198
40,harmonic_only,2880,0.9347222222222222,0.081,0.8809831824062095,0.11901681759379043,7.549937850945374e-30
40,curl_only,2796,0.9488555078683834,0.081,0.934156378600823,0.03292181069958849,0.03292181069958848
40,reliability_score,2676,0.9555306427503737,0.082,0.9659574468085106,0.03404255319148937,8.259136628924846e-30
41,raw,3000,0.918,0.081,0.8428232005590497,0.10812019566736548,0.04905660377358491
41,harmonic_only,2805,0.924777183600713,0.084,0.8863021751910641,0.11369782480893595,6.60080552648e-30
41,curl_only,2814,0.9346126510305615,0.082,0.9141124753675913,0.03268152190389573,0.05320600272851296
41,reliability_score,2619,0.9442535318823979,0.083,0.9654819084213896,0.034518091578610334,7.172884198829905e-30
42,raw,3000,0.918,0.081,0.8458891680625349,0.11893495254048017,0.035175879396984924
42,harmonic_only,2860,0.9244755244755245,0.117,0.8767288773148149,0.12327112268518518,1.1652090757611789e-29
42,curl_only,2784,0.9382183908045977,0.127,0.9300107427869859,0.03131522406384286,0.03867403314917127
