seed,method,violations,goal_rate,final_return,n_hardened_regions
24,conformal_sgpo_anis,19,0.0,-3.050601907632813,1
25,conformal_sgpo_anis,5,0.0,-0.007241964292616154,1
26,conformal_sgpo_anis,9,0.0,-0.007260763798269316,1
27,conformal_sgpo_anis,1,0.0,0.007139099566454862,1
28,conformal_sgpo_anis,9,0.0,-2.3539186263712626,1
29,conformal_sgpo_anis,16,0.0,0.0027987230575112414,1
30,conformal_sgpo_anis,20,0.0,-1.2978282275557604,1
31,conformal_sgpo_anis,89,0.0,-2.5349162109096244,2
32,conformal_sgpo_anis,3,0.0,-1.3155640420775112,1
33,conformal_sgpo_anis,24,0.0,-1.1956789279542552,1
34,conformal_sgpo_anis,12,0.0,0.32313406765980107,1
35,conformal_sgpo_anis,35,0.0,0.03847834538547783,2
36,conformal_sgpo_anis,7,0.0,-0.09244717302388508,1
37,conformal_sgpo_anis,84,0.0,-1.3841321729108398,2
38,conformal_sgpo_anis,18,0.0,0.6362402489533586,1
39,conformal_sgpo_anis,23,0.0,0.11079085593354783,1
40,conformal_sgpo_anis,15,0.0033333333333333335,-4.60761411444983,1
41,conformal_sgpo_anis,16,0.0,0.4784814230708474,1
42,conformal_sgpo_anis,45,0.016666666666666666,-3.3189749156709483,1
43,conformal_sgpo_anis,0,0.0,-1.3237830924164904,1
44,conformal_sgpo_anis,6,0.0,0.0722789837699303,1
45,conformal_sgpo_anis,9,0.0,0.08052426459406185,1
46,conformal_sgpo_anis,15,0.0,-3.58772065912234,1
47,conformal_sgpo_anis,21,0.0,0.0502191708221645,1
48,conformal_sgpo_anis,110,0.11333333333333333,-1.3075119609897905,5
49,conformal_sgpo_anis,20,0.0,-0.19273889562455404,1
